ts,symbol,tf,price,rsi14,ema50,p_up,signal,source
1763406015.8838627,BTCX25.sim,H1,92552.5,28.8968824940048,96483.26598296163,0.903083324432373,1,xgb
1763407519.8841782,USOILZ25.sim,H1,59.918,54.561664190193206,59.553774267850876,0.3763333857059479,-1,xgb
1763410768.2591896,XAUZ25.sim,H1,4020.48,36.81023649034621,4102.640761951291,,-1,rule
1763410768.2591896,US30Z25.sim,H1,46596.25,23.10939573031007,47334.553521029324,0.45721739530563354,0,xgb
1763410768.2591896,US100Z25.sim,H1,24786.31,31.71533913721423,25165.522141159774,0.5037201046943665,0,xgb
1763410768.2591896,US500Z25.sim,H1,6671.85,28.255150362245445,6766.942126758676,0.7925010919570923,1,xgb
1763410768.2591896,BTCX25.sim,H1,91747.5,24.53835227272728,96264.58072189368,0.9367119669914246,1,xgb
1763413204.1713262,XAUZ25.sim,H1,4041.07,36.304485518512216,4101.001909371295,,-1,rule
1763413204.1713262,US30Z25.sim,H1,46674.8,25.219700816310578,47311.67958752615,0.6018436551094055,1,xgb
1763413204.1713262,US100Z25.sim,H1,24890.44,33.28916781047441,25158.51148136885,0.48071810603141785,0,xgb
1763413204.1713262,US500Z25.sim,H1,6694.7,31.086229686649403,6764.920998879863,0.8136730790138245,1,xgb
1763413204.1713262,BTCX25.sim,H1,91992.5,22.923467537178098,96104.77669768088,0.9044129252433777,1,xgb
1763425929.2897196,XAUZ25.sim,H1,4031.59,35.55878896412787,4096.035188932035,,-1,rule
1763425929.2897196,US30Z25.sim,H1,46673.9,26.13365155131281,47265.44814152368,0.7227393388748169,1,xgb
1763425929.2897196,US100Z25.sim,H1,24864.03,32.987382987383086,25138.43542213867,0.4279571771621704,0,xgb
1763425929.2897196,US500Z25.sim,H1,6690.78,31.131115459882437,6759.718849772871,0.7531538605690002,1,xgb
1763425929.2897196,BTCX25.sim,H1,91877.5,24.118239838763856,95786.94146630958,0.9386572241783142,1,xgb
1763427613.7228086,XAUZ25.sim,H1,4042.19,41.14986311153439,4094.2227586228682,,-1,rule
1763427613.7228086,US30Z25.sim,H1,46664.9,28.028238791181792,47241.58872495705,0.7087612152099609,1,xgb
1763427613.7228086,US100Z25.sim,H1,24854.78,35.25102348631769,25126.822199555972,0.5156918168067932,0,xgb
1763427613.7228086,US500Z25.sim,H1,6690.33,33.63268033916694,6756.943904954,0.7614120244979858,1,xgb
1763427613.7228086,BTCX25.sim,H1,92165.0,25.409550365981175,95654.70421353733,0.9296159744262695,1,xgb
1763431223.100743,XAUZ25.sim,H1,4021.78,33.4341647166258,4090.7047901266646,,-1,rule
1763431223.100743,US30Z25.sim,H1,46728.45,29.59561785081351,47223.978837914794,0.5872176289558411,0,xgb
1763431223.100743,US100Z25.sim,H1,24930.28,39.060290993108914,25122.075441737794,0.5881736874580383,0,xgb
1763431223.100743,US500Z25.sim,H1,6703.3,36.46543136082886,6755.349644087831,0.8262993693351746,1,xgb
1763431223.100743,BTCX25.sim,H1,91690.0,23.8776188892584,95482.08144374749,0.9296811819076538,1,xgb
1763431557.2027168,BTCX25.sim,H1,91300.0,22.699968384445143,95466.78732610043,0.9123436808586121,1,xgb
1763431557.2027168,US100Z25.sim,H1,24929.36,39.03128153380431,25122.03936330642,0.5881736874580383,0,xgb
1763431557.2027168,US30Z25.sim,H1,46735.4,29.88607543979721,47224.2513869344,0.6333929300308228,1,xgb
1763431557.2027168,US500Z25.sim,H1,6703.45,36.48724082934606,6755.355526440771,0.8181607723236084,1,xgb
1763431557.2027168,XAUZ25.sim,H1,4024.24,33.913999652757624,4090.8012607149003,,-1,rule
1763431682.185947,BTCX25.sim,H1,91332.5,22.793650793650798,95468.06183590436,0.9200840592384338,1,xgb
1763431682.185947,US100Z25.sim,H1,24923.78,38.856251958885515,25121.82053977701,0.5906755924224854,0,xgb
1763431682.185947,US30Z25.sim,H1,46733.05,29.753166088569998,47224.15923007165,0.6333929300308228,1,xgb
1763431682.185947,US500Z25.sim,H1,6702.58,36.361107799896665,6755.321408793713,0.8295535445213318,1,xgb
1763431682.185947,XAUZ25.sim,H1,4029.34,35.80864579234367,4091.0012607149,,-1,rule
1763434803.2387245,BTCX25.sim,H1,90845.0,22.08551215010766,95268.96574570698,0.926733672618866,1,xgb
1763434803.2387245,US100Z25.sim,H1,24837.36,38.39830999785585,25107.456564481567,0.4956933259963989,0,xgb
1763434803.2387245,US30Z25.sim,H1,46658.25,28.445339114276848,47199.191960918324,0.6338371634483337,1,xgb
1763434803.2387245,US500Z25.sim,H1,6686.33,35.82726489703231,6752.009301915772,0.7784724831581116,1,xgb
1763434803.2387245,XAUZ25.sim,H1,4017.43,32.88609442541957,4087.693963242949,,-1,rule
1763438402.8731892,BTCX25.sim,H1,90867.5,26.90298507462687,95097.2056165033,0.9369384050369263,1,xgb
1763438402.8731892,US100Z25.sim,H1,24781.28,38.299759982889945,25092.63725894025,0.5042591094970703,0,xgb
1763438402.8731892,US30Z25.sim,H1,46602.6,28.489454094292796,47173.80112670403,0.5707781910896301,0,xgb
1763438402.8731892,US500Z25.sim,H1,6674.68,35.803435189170116,6748.5510437686,0.8096826076507568,1,xgb
1763438402.8731892,XAUZ25.sim,H1,4012.22,34.25730994152043,4084.544771719905,,-1,rule
1763439261.2607508,XAUZ25.sim,H1,4009.71,33.76174283902945,4084.4463403473555,,-1,rule
1763439261.2607508,US30Z25.sim,H1,46535.75,27.085406760293438,47171.179558076576,0.5696249604225159,0,xgb
1763439261.2607508,US100Z25.sim,H1,24720.53,36.54131019680168,25090.25490599907,0.38162288069725037,-1,xgb
1763439261.2607508,US500Z25.sim,H1,6662.43,34.16591995221023,6748.070651611737,0.7479690313339233,1,xgb
1763439261.2607508,BTCX25.sim,H1,90320.0,24.870645050017245,95075.735028268,0.899375855922699,1,xgb
1763442027.7023668,XAUZ25.sim,H1,4011.53,29.73105434050126,4081.5957607313285,,-1,rule
1763442027.7023668,US30Z25.sim,H1,46516.4,25.092853959292952,47144.88484829949,0.6091158986091614,1,xgb
1763442027.7023668,US100Z25.sim,H1,24724.86,30.299717971396646,25076.22907367662,0.48762425780296326,0,xgb
1763442027.7023668,US500Z25.sim,H1,6660.83,29.451647436659925,6744.613448504082,0.7331761717796326,1,xgb
1763442027.7023668,BTCX25.sim,H1,90097.5,14.835575485799708,94870.98301162227,0.9355672001838684,1,xgb
1763445606.1479452,XAUZ25.sim,H1,4018.99,35.36731728886349,4079.4031912929863,,-1,rule
1763445606.1479452,US30Z25.sim,H1,46502.25,26.228577913971264,47118.81740752159,0.6467843055725098,1,xgb
1763445606.1479452,US100Z25.sim,H1,24714.53,33.49846491029464,25061.40172152517,0.4689296782016754,0,xgb
1763445606.1479452,US500Z25.sim,H1,6657.38,31.76095350008397,6741.009886445182,0.7414082884788513,1,xgb
1763445606.1479452,BTCX25.sim,H1,90212.5,18.458333333333343,94692.35804366592,0.8676961660385132,1,xgb
1763449214.0031812,XAUZ25.sim,H1,4007.4,30.510966793285192,4076.173826337427,,-1,rule
1763449214.0031812,US30Z25.sim,H1,46437.6,18.799480089802714,47089.67826781458,0.6927898526191711,1,xgb
1763449214.0031812,US100Z25.sim,H1,24651.86,23.768317271052283,25043.24602009443,0.3889424800872803,-1,xgb
1763449214.0031812,US500Z25.sim,H1,6645.58,23.035857282676304,6736.860553621596,0.8157835602760315,1,xgb
1763449214.0031812,BTCX25.sim,H1,89635.0,11.466774716369542,94472.36887615953,0.8650726079940796,1,xgb
1763452822.2114122,XAUZ25.sim,H1,4013.28,31.386150663259215,4073.9348764081,,-1,rule
1763452822.2114122,US30Z25.sim,H1,46507.0,26.448092127879036,47068.69707283587,0.6414117813110352,1,xgb
1763452822.2114122,US100Z25.sim,H1,24722.78,34.59531190757622,25032.44044822357,0.4223535656929016,0,xgb
1763452822.2114122,US500Z25.sim,H1,6658.73,32.24228363929784,6734.137643163497,0.6969666481018066,1,xgb
1763452822.2114122,BTCX25.sim,H1,90575.0,29.936305732484072,94352.5970294169,0.8488662242889404,1,xgb
1763456400.4681325,XAUZ25.sim,H1,4036.13,42.14936866542102,4073.319771138474,,-1,rule
1763456400.4681325,US30Z25.sim,H1,46555.95,35.68962929611267,47050.4179942426,0.6401057839393616,1,xgb
1763456400.4681325,US100Z25.sim,H1,24800.53,44.6614925646096,25026.378988115528,0.4921915829181671,0,xgb
1763456400.4681325,US500Z25.sim,H1,6673.9,42.37650200267014,6732.356342551962,0.6298536658287048,1,xgb
1763456400.4681325,BTCX25.sim,H1,91262.5,39.24369747899159,94257.41009153359,0.6399762630462646,1,xgb
1763460008.872075,XAUZ25.sim,H1,4040.08,61.30094043887149,4072.1546634891083,,0,rule
1763460008.872075,US30Z25.sim,H1,46554.9,50.57163020465762,47031.04578279121,0.1342589259147644,-1,xgb
1763460008.872075,US100Z25.sim,H1,24834.78,55.231238751075814,25020.202474145266,0.43224143981933594,0,xgb
1763460008.872075,US500Z25.sim,H1,6680.18,55.21330068307786,6730.558047277115,0.4352571368217468,0,xgb
1763460008.872075,BTCX25.sim,H1,91490.0,48.23363165332077,94156.03964743277,0.697044849395752,1,xgb
1763463617.2656677,XAUZ25.sim,H1,4044.56,51.70660146699255,4071.2043024949135,,0,rule
1763463617.2656677,US30Z25.sim,H1,46486.05,35.36171525528361,47009.1687519754,0.5153113007545471,0,xgb
1763463617.2656677,US100Z25.sim,H1,24818.53,44.77488133458253,25011.891884410175,0.4137510061264038,0,xgb
1763463617.2656677,US500Z25.sim,H1,6677.45,43.79425725624469,6728.461121916712,0.6486126780509949,1,xgb
1763463617.2656677,BTCX25.sim,H1,91605.0,46.65060240963856,94061.0849220565,0.7079867124557495,1,xgb
1763467225.833982,XAUZ25.sim,H1,4039.8,46.9111590507944,4069.7564278620393,,0,rule
1763467225.833982,US30Z25.sim,H1,46445.6,30.397641366797743,46985.51186359691,0.513728141784668,0,xgb
1763467225.833982,US100Z25.sim,H1,24785.86,41.08403689571247,25002.296358005628,0.508281409740448,0,xgb
1763467225.833982,US500Z25.sim,H1,6671.95,40.143231172031186,6726.13387158513,0.6715102195739746,1,xgb
1763467225.833982,BTCX25.sim,H1,91607.5,47.314949201741655,93964.01567021343,0.8253722190856934,1,xgb
1763474057.196245,XAUZ25.sim,H1,4069.28,62.00514138817474,4069.433226810152,,0,rule
1763474057.196245,US30Z25.sim,H1,46322.0,26.94694114236033,46953.0711924988,0.4010842442512512,0,xgb
1763474057.196245,US100Z25.sim,H1,24745.19,39.12863590772309,24988.696226654163,0.4066774547100067,0,xgb
1763474057.196245,US500Z25.sim,H1,6662.88,38.04929665131344,6722.83176177783,0.696837306022644,1,xgb
1763474057.196245,BTCX25.sim,H1,91462.5,42.8643216080402,93863.27085851412,0.7782626748085022,1,xgb
1763474418.1348288,XAUZ25.sim,H1,4064.5,59.595726692798245,4069.091532883186,,0,rule
1763474418.1348288,US30Z25.sim,H1,46314.7,28.357380688124536,46927.949063364416,0.469484806060791,0,xgb
1763474418.1348288,US100Z25.sim,H1,24727.31,41.377195427934346,24977.871428937833,0.4578147828578949,0,xgb
1763474418.1348288,US500Z25.sim,H1,6660.33,40.20785531110798,6720.322393881987,0.6632793545722961,1,xgb
1763474418.1348288,BTCX25.sim,H1,91530.0,43.76603386351976,93774.30884569768,0.818637490272522,1,xgb
1763476785.4714508,BTCX25.sim,H1,92147.5,50.09107468123862,93798.52453197219,0.5420252084732056,0,xgb
1763476785.4714508,US100Z25.sim,H1,24752.53,43.32076597591407,24978.860448545678,0.39805206656455994,-1,xgb
1763476785.4714508,US30Z25.sim,H1,46306.15,28.061504667765348,46927.613769246775,0.5323532223701477,0,xgb
1763476785.4714508,US500Z25.sim,H1,6669.28,43.53123187004429,6720.6733742741435,0.6437074542045593,1,xgb
1763476785.4714508,XAUZ25.sim,H1,4075.06,62.78149507158773,4069.505650530245,,1,rule
1763478004.2941895,BTCX25.sim,H1,91370.0,46.30836047774159,93674.28034467518,0.7887344360351562,1,xgb
1763478004.2941895,US100Z25.sim,H1,24524.19,25.72238901612677,24952.341445026923,0.4273492693901062,0,xgb
1763478004.2941895,US30Z25.sim,H1,46174.3,19.093833185448773,46892.79976812311,0.5392128825187683,0,xgb
1763478004.2941895,US500Z25.sim,H1,6622.13,26.32402364120992,6715.019196374068,0.8204393982887268,1,xgb
1763478004.2941895,XAUZ25.sim,H1,4066.34,68.31941544885184,4069.020563830472,,0,rule
1763481604.8976727,BTCX25.sim,H1,92925.0,69.38967136150235,93704.04744594663,0.4119103252887726,0,xgb
1763481604.8976727,US100Z25.sim,H1,24445.19,26.082145810028535,24929.88487564151,0.4610164761543274,0,xgb
1763481604.8976727,US30Z25.sim,H1,46019.6,16.949064986052434,46853.33571999703,0.5549431443214417,0,xgb
1763481604.8976727,US500Z25.sim,H1,6605.08,26.27652133364424,6710.147144287177,0.7451106309890747,1,xgb
1763481604.8976727,XAUZ25.sim,H1,4052.23,64.05541354003464,4067.8655534127192,,0,rule
1763485204.9332466,BTCX25.sim,H1,93567.5,72.42524916943522,93724.59927133663,0.4646260142326355,0,xgb
1763485204.9332466,US100Z25.sim,H1,24645.69,42.80719697760334,24926.520950750313,0.4698249101638794,0,xgb
1763485204.9332466,US30Z25.sim,H1,46197.15,30.937368642286785,46834.50908119519,0.6146284341812134,1,xgb
1763485204.9332466,US500Z25.sim,H1,6646.03,42.714300070344706,6709.21904737552,0.7411133050918579,1,xgb
1763485204.9332466,XAUZ25.sim,H1,4067.1,71.23117528334092,4068.4010718057816,,0,rule
1763488426.2160947,XAUZ25.sim,H1,4073.19,72.57669167347527,4068.639895335193,,1,rule
1763488426.2160947,US30Z25.sim,H1,46360.45,39.98445617049108,46840.91300276382,0.2871268689632416,-1,xgb
1763488426.2160947,US100Z25.sim,H1,24741.03,47.95971272755203,24930.259774279726,0.4950403869152069,0,xgb
1763488426.2160947,US500Z25.sim,H1,6672.08,49.33788212057283,6710.240616002971,0.6603283286094666,1,xgb
1763488426.2160947,BTCX25.sim,H1,93395.0,70.40775131207106,93717.83456545428,0.5053898692131042,0,xgb
1763488805.062592,BTCX25.sim,H1,93375.0,80.24691358024691,93702.59614369356,0.37636256217956543,-1,xgb
1763488805.062592,US100Z25.sim,H1,24761.94,51.654077875157476,24924.05118991867,0.4095630347728729,0,xgb
1763488805.062592,US30Z25.sim,H1,46363.8,43.174241094929066,46821.710875034536,0.33394867181777954,-1,xgb
1763488805.062592,US500Z25.sim,H1,6675.1,53.20863173765567,6708.8832742023515,0.5760467648506165,0,xgb
1763488805.062592,XAUZ25.sim,H1,4072.1,73.71071101617312,4068.7337809438873,,1,rule
1763492043.3374932,XAUZ25.sim,H1,4072.67,73.82453475123415,4068.7561338850637,,0,rule,20,0
1763492043.3374932,US30Z25.sim,H1,46394.5,44.66467321657409,46822.91479660317,,0,rule,20,0
1763492043.3374932,US100Z25.sim,H1,24777.53,52.3907731404554,24924.662562467693,,0,rule,20,0
1763492043.3374932,US500Z25.sim,H1,6680.23,54.31292266642132,6709.084450672939,,0,rule,20,0
1763492043.3374932,BTCX25.sim,H1,93607.5,81.05263157894737,93711.71379075239,,0,rule,20,0
1763492088.797246,XAUZ25.sim,H1,4074.54,74.19113241461933,4068.8294672183974,,0,rule,20,0
1763492088.797246,US30Z25.sim,H1,46393.5,44.61735784523297,46822.87558091689,,0,rule,20,0
1763492088.797246,US100Z25.sim,H1,24777.19,52.37494622394297,24924.649229134357,,0,rule,20,0
1763492088.797246,US500Z25.sim,H1,6680.23,54.31292266642132,6709.084450672939,,0,rule,20,0
1763492088.797246,BTCX25.sim,H1,93607.5,81.05263157894737,93711.71379075239,,0,rule,20,0
1763492302.3792777,XAUZ25.sim,H1,4073.96,74.07853166842166,4068.8067221203582,,0,rule,20,0,H4,0
1763492302.3792777,US30Z25.sim,H1,46319.65,41.32389349780661,46819.97950248552,,0,rule,20,0,H4,-1
1763492302.3792777,US100Z25.sim,H1,24703.19,48.78403459426354,24921.747268350045,,0,rule,20,0,H4,0
1763492302.3792777,US500Z25.sim,H1,6665.25,50.8680635505412,6708.496999692547,,0,rule,20,0,H4,0
1763492302.3792777,BTCX25.sim,H1,93387.5,80.2919708029197,93703.086339772,,0,rule,20,0,H4,-1
1763492404.1741,XAUZ25.sim,H1,4073.14,72.09640892914895,4068.9473303006353,,0,rule,21,0
1763492404.1741,US30Z25.sim,H1,46325.35,42.588100383716245,46800.52856609433,,0,rule,21,0
1763492404.1741,US100Z25.sim,H1,24712.44,50.227499072428664,24913.71762672353,,0,rule,21,0
1763492404.1741,US500Z25.sim,H1,6666.6,52.50471698113226,6706.87269202306,,0,rule,21,0
1763492404.1741,BTCX25.sim,H1,93395.0,79.67441860465117,93691.75436754632,,0,rule,21,0
1763496012.6597316,XAUZ25.sim,H1,4082.26,80.2450980392156,4069.8074105102587,,0,rule,22,0
1763496012.6597316,US30Z25.sim,H1,46403.75,48.531372296047785,46788.03664495389,,0,rule,22,0
1763496012.6597316,US100Z25.sim,H1,24770.94,55.39116121020758,24910.41612182472,,0,rule,22,0
1763496012.6597316,US500Z25.sim,H1,6679.63,57.652943083406726,6706.300796509115,,0,rule,22,0
1763496012.6597316,BTCX25.sim,H1,93275.0,86.42964446670005,93669.66353575638,,0,rule,22,0
1763499621.1428063,XAUZ25.sim,H1,4069.93,71.72859450726959,4069.3329728043864,,0,rule,23,0
1763499621.1428063,US30Z25.sim,H1,46153.55,37.76539180814822,46754.41403380359,,0,rule,23,0
1763499621.1428063,US100Z25.sim,H1,24580.19,45.02395159257071,24890.33233197674,,0,rule,23,0
1763499621.1428063,US500Z25.sim,H1,6635.48,46.20084910526513,6701.931868011499,,0,rule,23,0
1763499621.1428063,BTCX25.sim,H1,92880.0,76.46730016769145,93623.34845583196,,0,rule,23,0
1763505746.7276175,XAUZ25.sim,H1,4067.36,70.45833965700402,4069.232188490661,,0,rule,23,0,H4,0
1763505746.7276175,US30Z25.sim,H1,46109.75,36.59004512026179,46752.69638674476,,0,rule,23,0,H4,-1
1763505746.7276175,US100Z25.sim,H1,24527.06,43.09952293991296,24888.248802564976,,0,rule,23,0,H4,-1
1763505746.7276175,US500Z25.sim,H1,6626.05,44.53453683163772,6701.562064089931,,0,rule,23,0,H4,-1
1763505746.7276175,BTCX25.sim,H1,92612.5,72.2693531283139,93612.85825975353,,0,rule,23,0,H4,-1
1763506862.061398,XAUZ25.sim,H1,4068.71,64.69574680330086,4069.2117920366395,,0,rule,1,0,H4,-1
1763506862.061398,US30Z25.sim,H1,46133.4,34.509962205995805,46728.41012418895,,0,rule,1,0,H4,-1
1763506862.061398,US100Z25.sim,H1,24548.13,38.9967484022322,24874.910842819783,,0,rule,1,0,H4,-1
1763506862.061398,US500Z25.sim,H1,6630.4,41.1181939989443,6698.771395216653,,0,rule,1,0,H4,-1
1763506892.169534,BTCX25.sim,H1,93155.0,70.97669256381798,93594.90525759618,,0,rule,1,0,H4,-1
1763510184.222037,XAUZ25.sim,H1,4074.54,66.4685615848405,4069.44041948762,,0,rule,1,0,H4,-1
1763510184.222037,US30Z25.sim,H1,46218.4,38.355265430180026,46731.74345752229,,0,rule,1,0,H4,-1
1763510184.222037,US100Z25.sim,H1,24585.86,40.91934244378366,24876.39045066292,,0,rule,1,0,H4,-1
1763510184.222037,US500Z25.sim,H1,6640.75,43.492830423940205,6699.1772775695945,,0,rule,1,0,H4,-1
1763510184.222037,BTCX25.sim,H1,92922.5,69.39730836746635,93585.78761053736,,0,rule,1,0,H4,-1
1763510425.4043918,XAUZ25.sim,H1,4075.62,65.56849791376888,4069.7490515745408,,0,rule,2,0,H4,-1
1763510425.4043918,US30Z25.sim,H1,46222.5,38.46365733567466,46711.97293023329,,0,rule,2,0,H4,-1
1763510425.4043918,US100Z25.sim,H1,24588.86,39.41682723185614,24865.23431961317,,0,rule,2,0,H4,-1
1763510425.4043918,US500Z25.sim,H1,6641.33,42.20709423145829,6696.936294321374,,0,rule,2,0,H4,-1
1763510425.4043918,BTCX25.sim,H1,92985.0,68.4084084084084,93564.86699827196,,0,rule,2,0,H4,-1
1763510833.0961094,XAUZ25.sim,H1,4072.42,63.79397834912031,4069.623561378462,,0,rule,2,0,H4,-1
1763510833.0961094,US30Z25.sim,H1,46175.9,37.2677231025855,46710.1454792529,,0,rule,2,0,H4,-1
1763510833.0961094,US100Z25.sim,H1,24551.61,38.19834024896266,24863.773535299442,,0,rule,2,0,H4,-1
1763510833.0961094,US500Z25.sim,H1,6633.18,40.88069715431489,6696.616686478236,,0,rule,2,0,H4,-1
1763510833.0961094,BTCX25.sim,H1,92660.0,63.45403899721448,93552.12190023274,,0,rule,2,0,H4,-1
1763514028.4133067,XAUZ25.sim,H1,4067.4,59.96819551389353,4069.405924527002,,0,rule,3,0,H4,-1
1763514028.4133067,US30Z25.sim,H1,46188.4,37.99142973745077,46690.33672144802,,0,rule,3,0,H4,-1
1763514028.4133067,US100Z25.sim,H1,24545.61,38.386929979651015,24851.409709374893,,0,rule,3,0,H4,-1
1763514028.4133067,US500Z25.sim,H1,6633.88,41.099395255078264,6694.24121364303,,0,rule,3,0,H4,-1
1763514028.4133067,BTCX25.sim,H1,92325.0,57.52688172043011,93495.52825186888,,0,rule,3,0,H4,-1
1763517615.4006853,XAUZ25.sim,H1,4059.93,58.58618726104265,4068.7388964873935,,0,rule,4,0,H4,-1
1763517615.4006853,US30Z25.sim,H1,46181.2,40.589180503481415,46669.73007195637,,0,rule,4,0,H4,-1
1763517615.4006853,US100Z25.sim,H1,24559.43,39.84750931887489,24840.100897294247,,0,rule,4,0,H4,-1
1763517615.4006853,US500Z25.sim,H1,6635.4,42.33453575909651,6691.917528759754,,0,rule,4,0,H4,-1
1763517615.4006853,BTCX25.sim,H1,92475.0,59.81308411214953,93461.34971398769,,0,rule,4,0,H4,-1
1763523522.383781,XAUZ25.sim,H1,4071.53,64.64356654160231,4069.445493937506,,0,rule,5,0,H4,0
1763523522.383781,US30Z25.sim,H1,46169.25,46.08968444362439,46652.21483735741,,0,rule,5,0,H4,-1
1763523522.383781,US100Z25.sim,H1,24568.43,44.97644068071053,24832.65639313802,,0,rule,5,0,H4,-1
1763523522.383781,US500Z25.sim,H1,6636.58,47.38243123336296,6690.306905596844,,0,rule,5,0,H4,-1
