symbol,tf,session,trades,wins,losses,flats,wr_pct,pnl_sum,avg_pnl,pf
BTCX25.sim,H1,ASIA,18,10,8,0,55.56,801.25,44.51,2.23
BTCX25.sim,H1,LONDON,21,14,7,0,66.67,1118.58,53.27,2.73
BTCX25.sim,H1,NY,63,37,26,0,58.73,2937.79,46.63,2.43
BTCX25.sim,H1,OFF,17,10,7,0,58.82,1081.89,63.64,2.90
BTCX25.sim,H4,ASIA,10,6,4,0,60.00,1354.26,135.43,3.19
BTCX25.sim,H4,LONDON,8,5,3,0,62.50,830.06,103.76,2.39
BTCX25.sim,H4,NY,13,8,5,0,61.54,1416.35,108.95,2.58
BTCX25.sim,H4,OFF,10,5,5,0,50.00,434.78,43.48,1.59
BTCX25.sim,M15,ASIA,9,5,4,0,55.56,296.49,32.94,2.44
BTCX25.sim,M15,LONDON,152,60,92,0,39.47,842.41,5.54,1.28
BTCX25.sim,M15,NY,249,81,168,0,32.53,-568.33,-2.28,0.91
BTCX25.sim,M15,OFF,37,14,23,0,37.84,295.82,8.00,1.27
BTCX25.sim,M30,ASIA,11,6,5,0,54.55,529.62,48.15,3.24
BTCX25.sim,M30,LONDON,47,33,14,0,70.21,2250.76,47.89,3.91
BTCX25.sim,M30,NY,124,61,63,0,49.19,2776.12,22.39,1.86
BTCX25.sim,M30,OFF,32,19,13,0,59.38,1309.03,40.91,2.61
US100Z25.sim,H1,ASIA,26,17,9,0,65.38,162.12,6.24,3.84
US100Z25.sim,H1,LONDON,62,32,30,0,51.61,218.28,3.52,2.15
US100Z25.sim,H1,NY,179,89,90,0,49.72,388.70,2.17,1.73
US100Z25.sim,H1,OFF,58,26,32,0,44.83,103.08,1.78,1.47
US100Z25.sim,H4,ASIA,9,3,6,0,33.33,12.56,1.40,1.16
US100Z25.sim,H4,LONDON,19,10,9,0,52.63,144.83,7.62,2.22
US100Z25.sim,H4,NY,38,16,22,0,42.11,130.38,3.43,1.52
US100Z25.sim,H4,OFF,19,9,9,1,47.37,114.08,6.00,2.20
US100Z25.sim,M15,ASIA,60,23,37,0,38.33,58.64,0.98,1.40
US100Z25.sim,M15,LONDON,306,120,186,0,39.22,114.94,0.38,1.31
US100Z25.sim,M15,NY,492,161,331,0,32.72,-43.66,-0.09,0.96
US100Z25.sim,M15,OFF,155,61,94,0,39.35,90.80,0.59,1.21
US100Z25.sim,M30,ASIA,31,19,12,0,61.29,173.38,5.59,4.36
US100Z25.sim,M30,LONDON,113,67,46,0,59.29,320.10,2.83,2.85
US100Z25.sim,M30,NY,236,106,130,0,44.92,254.96,1.08,1.45
US100Z25.sim,M30,OFF,77,43,34,0,55.84,252.25,3.28,2.16
US30Z25.sim,H1,ASIA,7,5,2,0,71.43,67.07,9.58,3.83
US30Z25.sim,H1,LONDON,30,16,14,0,53.33,156.42,5.21,2.41
US30Z25.sim,H1,NY,151,85,66,0,56.29,756.85,5.01,2.39
US30Z25.sim,H1,OFF,33,22,11,0,66.67,309.84,9.39,3.78
US30Z25.sim,H4,ASIA,7,4,3,0,57.14,76.61,10.94,2.37
US30Z25.sim,H4,LONDON,8,3,5,0,37.50,-0.34,-0.04,1.00
US30Z25.sim,H4,NY,48,30,18,0,62.50,763.09,15.90,3.30
US30Z25.sim,H4,OFF,11,8,3,0,72.73,199.78,18.16,4.24
US30Z25.sim,M15,ASIA,11,4,7,0,36.36,22.08,2.01,1.50
US30Z25.sim,M15,LONDON,315,107,208,0,33.97,5.27,0.02,1.01
US30Z25.sim,M15,NY,563,173,390,0,30.73,-66.78,-0.12,0.96
US30Z25.sim,M15,OFF,61,34,27,0,55.74,313.46,5.14,2.61
US30Z25.sim,M30,ASIA,11,7,4,0,63.64,62.88,5.72,2.59
US30Z25.sim,M30,LONDON,113,60,53,0,53.10,217.61,1.93,1.96
US30Z25.sim,M30,NY,259,136,123,0,52.51,860.33,3.32,2.22
US30Z25.sim,M30,OFF,44,30,14,0,68.18,338.01,7.68,3.47
US500Z25.sim,H1,ASIA,22,14,8,0,63.64,31.40,1.43,3.61
US500Z25.sim,H1,LONDON,44,24,20,0,54.55,26.46,0.60,1.95
US500Z25.sim,H1,NY,106,61,45,0,57.55,76.72,0.72,2.36
US500Z25.sim,H1,OFF,51,30,20,1,58.82,43.94,0.86,2.37
US500Z25.sim,H4,ASIA,10,6,4,0,60.00,19.34,1.93,2.57
US500Z25.sim,H4,LONDON,23,13,10,0,56.52,34.88,1.52,2.28
US500Z25.sim,H4,NY,35,14,21,0,40.00,24.54,0.70,1.52
US500Z25.sim,H4,OFF,23,13,10,0,56.52,32.57,1.42,2.20
US500Z25.sim,M15,ASIA,52,16,36,0,30.77,-8.75,-0.17,0.74
US500Z25.sim,M15,LONDON,316,115,201,0,36.39,20.09,0.06,1.24
US500Z25.sim,M15,NY,519,165,354,0,31.79,-1.55,-0.00,0.99
US500Z25.sim,M15,OFF,173,63,110,0,36.42,0.73,0.00,1.01
US500Z25.sim,M30,ASIA,36,22,14,0,61.11,34.34,0.95,3.09
US500Z25.sim,M30,LONDON,123,71,52,0,57.72,59.42,0.48,2.36
US500Z25.sim,M30,NY,237,122,115,0,51.48,96.89,0.41,1.97
US500Z25.sim,M30,OFF,78,47,31,0,60.26,57.62,0.74,2.56
USOILZ25.sim,H1,ASIA,11,9,2,0,81.82,0.54,0.05,7.75
USOILZ25.sim,H1,LONDON,54,32,22,0,59.26,1.05,0.02,2.62
USOILZ25.sim,H1,NY,88,53,35,0,60.23,2.06,0.02,2.94
USOILZ25.sim,H1,OFF,10,6,4,0,60.00,0.27,0.03,3.25
USOILZ25.sim,H4,ASIA,1,1,0,0,100.00,0.13,0.13,0.00
USOILZ25.sim,H4,LONDON,25,15,10,0,60.00,1.16,0.05,2.93
USOILZ25.sim,H4,NY,14,10,4,0,71.43,0.85,0.06,4.40
USOILZ25.sim,H4,OFF,3,1,2,0,33.33,-0.02,-0.01,0.82
USOILZ25.sim,M15,ASIA,13,7,6,0,53.85,0.16,0.01,2.00
USOILZ25.sim,M15,LONDON,298,89,206,3,29.87,-0.20,-0.00,0.91
USOILZ25.sim,M15,NY,269,85,184,0,31.60,-0.55,-0.00,0.84
USOILZ25.sim,M15,OFF,37,9,28,0,24.32,-0.25,-0.01,0.59
USOILZ25.sim,M30,ASIA,12,6,6,0,50.00,0.16,0.01,1.94
USOILZ25.sim,M30,LONDON,124,64,60,0,51.61,1.26,0.01,2.37
USOILZ25.sim,M30,NY,155,97,58,0,62.58,3.17,0.02,3.37
USOILZ25.sim,M30,OFF,23,7,16,0,30.43,-0.03,-0.00,0.93
XAUZ25.sim,H1,ASIA,47,27,20,0,57.45,37.34,0.79,2.10
XAUZ25.sim,H1,LONDON,67,37,30,0,55.22,74.29,1.11,2.69
XAUZ25.sim,H1,NY,97,55,42,0,56.70,75.52,0.78,2.27
XAUZ25.sim,H1,OFF,17,6,11,0,35.29,2.59,0.15,1.14
