"experiment","has_trades_csv","trade_rows","trades_path"
"E0001-US30Z25.sim-M30-N_A-5y","True","331","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0001-US30Z25.sim-M30-N_A-5y\trades.csv"
"E0002-US30Z25.sim-M30-N_A-3y","True","331","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0002-US30Z25.sim-M30-N_A-3y\trades.csv"
"E0003-US30Z25.sim-M30-N_A-5y","True","234","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0003-US30Z25.sim-M30-N_A-5y\trades.csv"
"E0004-US30Z25.sim-M30-N_A-3y","True","234","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0004-US30Z25.sim-M30-N_A-3y\trades.csv"
"E0005-US30Z25.sim-M30-N_A-5y","True","331","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0005-US30Z25.sim-M30-N_A-5y\trades.csv"
"E0006-US30Z25.sim-M30-N_A-3y","True","331","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0006-US30Z25.sim-M30-N_A-3y\trades.csv"
"E0007-US30Z25.sim-H1-N_A-5y","True","196","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0007-US30Z25.sim-H1-N_A-5y\trades.csv"
"E0008-US30Z25.sim-H1-N_A-3y","True","196","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0008-US30Z25.sim-H1-N_A-3y\trades.csv"
"E0009-US30Z25.sim-H1-N_A-5y","True","156","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0009-US30Z25.sim-H1-N_A-5y\trades.csv"
"E0010-US30Z25.sim-H1-N_A-3y","True","156","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0010-US30Z25.sim-H1-N_A-3y\trades.csv"
"E0011-US30Z25.sim-H1-N_A-5y","True","196","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0011-US30Z25.sim-H1-N_A-5y\trades.csv"
"E0012-US30Z25.sim-H1-N_A-3y","True","196","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0012-US30Z25.sim-H1-N_A-3y\trades.csv"
"E0013-US30Z25.sim-H4-N_A-5y","True","64","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0013-US30Z25.sim-H4-N_A-5y\trades.csv"
"E0014-US30Z25.sim-H4-N_A-3y","True","64","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0014-US30Z25.sim-H4-N_A-3y\trades.csv"
"E0015-US30Z25.sim-H4-N_A-5y","True","44","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0015-US30Z25.sim-H4-N_A-5y\trades.csv"
"E0016-US30Z25.sim-H4-N_A-3y","True","44","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0016-US30Z25.sim-H4-N_A-3y\trades.csv"
"E0017-US30Z25.sim-H4-N_A-5y","True","64","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0017-US30Z25.sim-H4-N_A-5y\trades.csv"
"E0018-US30Z25.sim-H4-N_A-3y","True","64","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0018-US30Z25.sim-H4-N_A-3y\trades.csv"
"E0019-US100Z25.sim-M30-N_A-5y","True","214","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0019-US100Z25.sim-M30-N_A-5y\trades.csv"
"E0020-US100Z25.sim-M30-N_A-3y","True","214","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0020-US100Z25.sim-M30-N_A-3y\trades.csv"
"E0021-US100Z25.sim-M30-N_A-5y","True","165","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0021-US100Z25.sim-M30-N_A-5y\trades.csv"
"E0022-US100Z25.sim-M30-N_A-3y","True","165","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0022-US100Z25.sim-M30-N_A-3y\trades.csv"
"E0023-US100Z25.sim-M30-N_A-5y","True","214","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0023-US100Z25.sim-M30-N_A-5y\trades.csv"
"E0024-US100Z25.sim-M30-N_A-3y","True","214","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0024-US100Z25.sim-M30-N_A-3y\trades.csv"
"E0025-US100Z25.sim-H1-N_A-5y","True","118","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0025-US100Z25.sim-H1-N_A-5y\trades.csv"
"E0026-US100Z25.sim-H1-N_A-3y","True","118","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0026-US100Z25.sim-H1-N_A-3y\trades.csv"
"E0027-US100Z25.sim-H1-N_A-5y","True","90","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0027-US100Z25.sim-H1-N_A-5y\trades.csv"
"E0028-US100Z25.sim-H1-N_A-3y","True","90","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0028-US100Z25.sim-H1-N_A-3y\trades.csv"
"E0029-US100Z25.sim-H1-N_A-5y","True","118","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0029-US100Z25.sim-H1-N_A-5y\trades.csv"
"E0030-US100Z25.sim-H1-N_A-3y","True","118","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0030-US100Z25.sim-H1-N_A-3y\trades.csv"
"E0031-US100Z25.sim-H4-N_A-5y","True","39","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0031-US100Z25.sim-H4-N_A-5y\trades.csv"
"E0032-US100Z25.sim-H4-N_A-3y","True","39","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0032-US100Z25.sim-H4-N_A-3y\trades.csv"
"E0033-US100Z25.sim-H4-N_A-5y","True","34","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0033-US100Z25.sim-H4-N_A-5y\trades.csv"
"E0034-US100Z25.sim-H4-N_A-3y","True","34","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0034-US100Z25.sim-H4-N_A-3y\trades.csv"
"E0035-US100Z25.sim-H4-N_A-5y","True","39","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0035-US100Z25.sim-H4-N_A-5y\trades.csv"
"E0036-US100Z25.sim-H4-N_A-3y","True","39","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0036-US100Z25.sim-H4-N_A-3y\trades.csv"
"E0037-US500Z25.sim-M30-N_A-5y","True","367","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0037-US500Z25.sim-M30-N_A-5y\trades.csv"
"E0038-US500Z25.sim-M30-N_A-3y","True","367","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0038-US500Z25.sim-M30-N_A-3y\trades.csv"
"E0039-US500Z25.sim-M30-N_A-5y","True","279","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0039-US500Z25.sim-M30-N_A-5y\trades.csv"
"E0040-US500Z25.sim-M30-N_A-3y","True","279","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0040-US500Z25.sim-M30-N_A-3y\trades.csv"
"E0041-US500Z25.sim-M30-N_A-5y","True","367","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0041-US500Z25.sim-M30-N_A-5y\trades.csv"
"E0042-US500Z25.sim-M30-N_A-3y","True","367","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0042-US500Z25.sim-M30-N_A-3y\trades.csv"
"E0043-US500Z25.sim-H1-N_A-5y","True","198","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0043-US500Z25.sim-H1-N_A-5y\trades.csv"
"E0044-US500Z25.sim-H1-N_A-3y","True","198","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0044-US500Z25.sim-H1-N_A-3y\trades.csv"
"E0045-US500Z25.sim-H1-N_A-5y","True","161","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0045-US500Z25.sim-H1-N_A-5y\trades.csv"
"E0046-US500Z25.sim-H1-N_A-3y","True","161","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0046-US500Z25.sim-H1-N_A-3y\trades.csv"
"E0047-US500Z25.sim-H1-N_A-5y","True","198","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0047-US500Z25.sim-H1-N_A-5y\trades.csv"
"E0048-US500Z25.sim-H1-N_A-3y","True","198","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0048-US500Z25.sim-H1-N_A-3y\trades.csv"
"E0049-US500Z25.sim-H4-N_A-5y","True","62","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0049-US500Z25.sim-H4-N_A-5y\trades.csv"
"E0050-US500Z25.sim-H4-N_A-3y","True","62","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0050-US500Z25.sim-H4-N_A-3y\trades.csv"
"E0051-US500Z25.sim-H4-N_A-5y","True","44","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0051-US500Z25.sim-H4-N_A-5y\trades.csv"
"E0052-US500Z25.sim-H4-N_A-3y","True","44","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0052-US500Z25.sim-H4-N_A-3y\trades.csv"
"E0053-US500Z25.sim-H4-N_A-5y","True","62","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0053-US500Z25.sim-H4-N_A-5y\trades.csv"
"E0054-US500Z25.sim-H4-N_A-3y","True","62","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0054-US500Z25.sim-H4-N_A-3y\trades.csv"
"E0055-XAUZ25.sim-M30-N_A-5y","True","287","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0055-XAUZ25.sim-M30-N_A-5y\trades.csv"
"E0056-XAUZ25.sim-M30-N_A-3y","True","287","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0056-XAUZ25.sim-M30-N_A-3y\trades.csv"
"E0057-XAUZ25.sim-M30-N_A-5y","True","204","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0057-XAUZ25.sim-M30-N_A-5y\trades.csv"
"E0058-XAUZ25.sim-M30-N_A-3y","True","204","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0058-XAUZ25.sim-M30-N_A-3y\trades.csv"
"E0059-XAUZ25.sim-M30-N_A-5y","True","287","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0059-XAUZ25.sim-M30-N_A-5y\trades.csv"
"E0060-XAUZ25.sim-M30-N_A-3y","True","287","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0060-XAUZ25.sim-M30-N_A-3y\trades.csv"
"E0061-XAUZ25.sim-H1-N_A-5y","True","154","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0061-XAUZ25.sim-H1-N_A-5y\trades.csv"
"E0062-XAUZ25.sim-H1-N_A-3y","True","154","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0062-XAUZ25.sim-H1-N_A-3y\trades.csv"
"E0063-XAUZ25.sim-H1-N_A-5y","True","109","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0063-XAUZ25.sim-H1-N_A-5y\trades.csv"
"E0064-XAUZ25.sim-H1-N_A-3y","True","109","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0064-XAUZ25.sim-H1-N_A-3y\trades.csv"
"E0065-XAUZ25.sim-H1-N_A-5y","True","154","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0065-XAUZ25.sim-H1-N_A-5y\trades.csv"
"E0066-XAUZ25.sim-H1-N_A-3y","True","154","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0066-XAUZ25.sim-H1-N_A-3y\trades.csv"
"E0067-XAUZ25.sim-H4-N_A-5y","True","39","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0067-XAUZ25.sim-H4-N_A-5y\trades.csv"
"E0068-XAUZ25.sim-H4-N_A-3y","True","39","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0068-XAUZ25.sim-H4-N_A-3y\trades.csv"
"E0069-XAUZ25.sim-H4-N_A-5y","True","31","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0069-XAUZ25.sim-H4-N_A-5y\trades.csv"
"E0070-XAUZ25.sim-H4-N_A-3y","True","31","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0070-XAUZ25.sim-H4-N_A-3y\trades.csv"
"E0071-XAUZ25.sim-H4-N_A-5y","True","39","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0071-XAUZ25.sim-H4-N_A-5y\trades.csv"
"E0072-XAUZ25.sim-H4-N_A-3y","True","39","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0072-XAUZ25.sim-H4-N_A-3y\trades.csv"
"E0073-BTCX25.sim-M30-N_A-5y","True","148","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0073-BTCX25.sim-M30-N_A-5y\trades.csv"
"E0074-BTCX25.sim-M30-N_A-3y","True","148","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0074-BTCX25.sim-M30-N_A-3y\trades.csv"
"E0075-BTCX25.sim-M30-N_A-5y","True","122","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0075-BTCX25.sim-M30-N_A-5y\trades.csv"
"E0076-BTCX25.sim-M30-N_A-3y","True","122","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0076-BTCX25.sim-M30-N_A-3y\trades.csv"
"E0077-BTCX25.sim-M30-N_A-5y","True","148","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0077-BTCX25.sim-M30-N_A-5y\trades.csv"
"E0078-BTCX25.sim-M30-N_A-3y","True","148","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0078-BTCX25.sim-M30-N_A-3y\trades.csv"
"E0079-BTCX25.sim-H1-N_A-5y","True","66","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0079-BTCX25.sim-H1-N_A-5y\trades.csv"
"E0080-BTCX25.sim-H1-N_A-3y","True","66","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0080-BTCX25.sim-H1-N_A-3y\trades.csv"
"E0081-BTCX25.sim-H1-N_A-5y","True","95","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0081-BTCX25.sim-H1-N_A-5y\trades.csv"
"E0082-BTCX25.sim-H1-N_A-3y","True","95","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0082-BTCX25.sim-H1-N_A-3y\trades.csv"
"E0083-BTCX25.sim-H1-N_A-5y","True","66","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0083-BTCX25.sim-H1-N_A-5y\trades.csv"
"E0084-BTCX25.sim-H1-N_A-3y","True","66","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0084-BTCX25.sim-H1-N_A-3y\trades.csv"
"E0085-BTCX25.sim-H4-N_A-5y","True","36","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0085-BTCX25.sim-H4-N_A-5y\trades.csv"
"E0086-BTCX25.sim-H4-N_A-3y","True","36","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0086-BTCX25.sim-H4-N_A-3y\trades.csv"
"E0087-BTCX25.sim-H4-N_A-5y","True","23","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0087-BTCX25.sim-H4-N_A-5y\trades.csv"
"E0088-BTCX25.sim-H4-N_A-3y","True","23","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0088-BTCX25.sim-H4-N_A-3y\trades.csv"
"E0089-BTCX25.sim-H4-N_A-5y","True","36","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0089-BTCX25.sim-H4-N_A-5y\trades.csv"
"E0090-BTCX25.sim-H4-N_A-3y","True","36","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0090-BTCX25.sim-H4-N_A-3y\trades.csv"
"E0091-USOILZ25.sim-M30-N_A-5y","True","251","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0091-USOILZ25.sim-M30-N_A-5y\trades.csv"
"E0092-USOILZ25.sim-M30-N_A-3y","True","251","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0092-USOILZ25.sim-M30-N_A-3y\trades.csv"
"E0093-USOILZ25.sim-M30-N_A-5y","True","203","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0093-USOILZ25.sim-M30-N_A-5y\trades.csv"
"E0094-USOILZ25.sim-M30-N_A-3y","True","203","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0094-USOILZ25.sim-M30-N_A-3y\trades.csv"
"E0095-USOILZ25.sim-M30-N_A-5y","True","251","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0095-USOILZ25.sim-M30-N_A-5y\trades.csv"
"E0096-USOILZ25.sim-M30-N_A-3y","True","251","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0096-USOILZ25.sim-M30-N_A-3y\trades.csv"
"E0097-USOILZ25.sim-H1-N_A-5y","True","137","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0097-USOILZ25.sim-H1-N_A-5y\trades.csv"
"E0098-USOILZ25.sim-H1-N_A-3y","True","137","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0098-USOILZ25.sim-H1-N_A-3y\trades.csv"
"E0099-USOILZ25.sim-H1-N_A-5y","True","106","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0099-USOILZ25.sim-H1-N_A-5y\trades.csv"
"E0100-USOILZ25.sim-H1-N_A-3y","True","106","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0100-USOILZ25.sim-H1-N_A-3y\trades.csv"
"E0101-USOILZ25.sim-H1-N_A-5y","True","137","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0101-USOILZ25.sim-H1-N_A-5y\trades.csv"
"E0102-USOILZ25.sim-H1-N_A-3y","True","137","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0102-USOILZ25.sim-H1-N_A-3y\trades.csv"
"E0103-USOILZ25.sim-H4-N_A-5y","True","40","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0103-USOILZ25.sim-H4-N_A-5y\trades.csv"
"E0104-USOILZ25.sim-H4-N_A-3y","True","40","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0104-USOILZ25.sim-H4-N_A-3y\trades.csv"
"E0105-USOILZ25.sim-H4-N_A-5y","True","32","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0105-USOILZ25.sim-H4-N_A-5y\trades.csv"
"E0106-USOILZ25.sim-H4-N_A-3y","True","32","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0106-USOILZ25.sim-H4-N_A-3y\trades.csv"
"E0107-USOILZ25.sim-H4-N_A-5y","True","40","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0107-USOILZ25.sim-H4-N_A-5y\trades.csv"
"E0108-USOILZ25.sim-H4-N_A-3y","True","40","C:\ftmo_trader_2\reports\matrix\20251110_2324\E0108-USOILZ25.sim-H4-N_A-3y\trades.csv"
